SSN,LAST,FIRST,YEAR
MLNLCU50Z403RE,Melone,Luca,1950
MTTNRC48G456HT,Mattei,Enrica,1948
VRDGRG59L219XD,Verdi,Giorgio,1959
RSSMRM86H501IU,Russo,Miriam,1986
BCANRC53L219JQ,Abaco,Enrica,1953
VRDNRC50G456YM,Verdi,Enrica,1950
NREPLA8R129OF,Neri,Paola,2008
DRGPLA14F789FM,Draghi,Paola,2014
RSSGRG49R129HA,Russo,Giorgio,1949
NREPLA97L219LV,Neri,Paola,1997
BCAGRG42L219GW,Abaco,Giorgio,1942
VRDXVR25G456UH,Verdi,Xavier,1925
BCALCU67H501BU,Abaco,Lucia,1967
DRGLAI48G456LI,Draghi,Ali,1948
NREPLA11H501VE,Neri,Paola,2011
VRDPLA8F789MW,Verdi,Paola,2008
NREGRG13F789GY,Neri,Giorgio,2013
VRDXVR48F789HT,Verdi,Xavier,1948
MLNNNA8Z403UG,Melone,Anna,2008
DRGNNA39H501UI,Draghi,Anna,1939
RSSXVR99F789WT,Rossi,Xavier,1999
BCAMRM78L219PV,Abaco,Miriam,1978
LTTXVR63L219KM,Letto,Xavier,1963
BCALCU50L219NI,Abaco,Lucia,1950
RSSLCU23L219MN,Russo,Luca,1923
BCAXVR14R129LE,Abaco,Xavier,2014
LTTGRG16L219XO,Letto,Giorgio,2016
NREXVR46A213JV,Neri,Xavier,1946
NRENNA45L219XX,Neri,Anna,1945
BCAMRA19L219BR,Abaco,Mario,2019
BCAMRM61R129BP,Abaco,Miriam,1961
RSSLCU32R129KP,Rossi,Luca,1932
MLNLAI94Z403HK,Melone,Ali,1994
MLNMRM81L219OP,Melone,Miriam,1981
MLNNNA94F789BK,Melone,Anna,1994
DRGMRM46G456CJ,Draghi,Miriam,1946
DRGPLA99L219KS,Draghi,Paola,1999
MTTLCU94Z403CC,Mattei,Lucia,1994
DRGNNA7F789HT,Draghi,Anna,2007
XVRNRC37A213YH,Xavier,Enrica,1937
RSSLAI12A213JL,Russo,Ali,2012
MTTLCU29H501ON,Mattei,Luca,1929
RSSNNA69Z403HH,Russo,Anna,1969
MLNMRA60R129DI,Melone,Mario,1960
RSSLAI32Z403DM,Russo,Ali,1932
RSSMRA62H501JN,Rossi,Mario,1962
DRGMRA47R129IT,Draghi,Mario,1947
RSSMRA22F789SS,Russo,Mario,1922
MTTLAI38Z403WF,Mattei,Ali,1938
MTTMRM52R129XU,Mattei,Miriam,1952
RSSGRG21L219JW,Rossi,Giorgio,2021
BCANNA29A213US,Abaco,Anna,1929
MLNLCU33Z403HD,Melone,Luca,1933
RSSNNA81G456CH,Rossi,Anna,1981
VRDLCU95A213IC,Verdi,Luca,1995
BCAMRA44R129TS,Abaco,Mario,1944
LTTNRC85H501BY,Letto,Enrica,1985
MLNLCU92A213HV,Melone,Lucia,1992
